Date,Total Production (TWh),Eolien (TWh),Hydraulique (TWh),Nucléaire (TWh),Solaire (TWh),Thermique fossile (TWh),Thermique renewable and waste (TWh),Eolien_emissions (Mt CO₂),Hydraulique_emissions (Mt CO₂),Nucléaire_emissions (Mt CO₂),Solaire_emissions (Mt CO₂),Thermique fossile_emissions (Mt CO₂),Thermique renouvelable et déchets_emissions (Mt CO₂),Total_CO2_Emissions (Mt CO₂),Year,Month
2000-01-01,50.13,0.0,5.738,36.298,0.0,8.09,0.0,0.0,57.38,435.576,0.0,5663.0,0.0,6155.956,2000,1
2000-02-01,45.88,0.0,5.61,33.699,0.0,6.571,0.0,0.0,56.1,404.388,0.0,4599.7,0.0,5060.188,2000,2
2000-03-01,46.86,0.0,6.087,35.869,0.0,4.908,0.0,0.0,60.87,430.428,0.0,3435.6000000000004,0.0,3926.898,2000,3
2000-04-01,42.8,0.0,6.201,32.216,0.0,4.381,0.0,0.0,62.01,386.592,0.0,3066.7000000000003,0.0,3515.302,2000,4
2000-05-01,39.85,0.0,7.575,30.667,0.0,1.606,0.0,0.0,75.75,368.004,0.0,1124.2,0.0,1567.9540000000002,2000,5
2000-06-01,38.05,0.0,6.252,29.45,0.0,2.351,0.0,0.0,62.519999999999996,353.4,0.0,1645.7,0.0,2061.62,2000,6
2000-07-01,38.75,0.0,5.072,31.112,0.0,2.561,0.0,0.0,50.72,373.344,0.0,1792.7,0.0,2216.764,2000,7
2000-08-01,37.1,0.0,4.702,30.301,0.0,2.092,0.0,0.0,47.019999999999996,363.61199999999997,0.0,1464.4,0.0,1875.0320000000002,2000,8
2000-09-01,38.41,0.0,4.584,31.039,0.0,2.782,0.0,0.0,45.84,372.468,0.0,1947.4,0.0,2365.708,2000,9
2000-10-01,42.83,0.0,5.593,33.379,0.0,3.859,0.0,0.0,55.93,400.548,0.0,2701.3,0.0,3157.7780000000002,2000,10
2000-11-01,47.28,0.0,7.352,34.639,0.0,5.291,0.0,0.0,73.52000000000001,415.668,0.0,3703.7000000000003,0.0,4192.888,2000,11
2000-12-01,48.75,0.0,6.827,36.531,0.0,5.387,0.0,0.0,68.27,438.37199999999996,0.0,3770.8999999999996,0.0,4277.5419999999995,2000,12
2001-01-01,51.48,0.007,7.678,38.723,0.0,4.891,0.1845,0.0,76.78,464.676,0.0,3423.7,36.9,4002.056,2001,1
2001-02-01,44.68,0.011,6.641,33.166,0.0,4.678,0.1845,0.0,66.41,397.99199999999996,0.0,3274.6,36.9,3775.902,2001,2
2001-03-01,46.63,0.009,8.341,33.605,0.0,4.489,0.1845,0.0,83.41,403.26,0.0,3142.2999999999997,36.9,3665.87,2001,3
2001-04-01,42.85,0.011,8.642,31.417,0.0,2.595,0.1845,0.0,86.41999999999999,377.004,0.0,1816.5000000000002,36.9,2316.824,2001,4
2001-05-01,39.84,0.01,8.687,28.757,0.0,2.198,0.1845,0.0,86.86999999999999,345.084,0.0,1538.6,36.9,2007.454,2001,5
2001-06-01,37.95,0.008,7.086,28.39,0.0,2.28,0.1845,0.0,70.86,340.68,0.0,1595.9999999999998,36.9,2044.4399999999998,2001,6
2001-07-01,39.59,0.007,6.585,31.032,0.0,1.781,0.1845,0.0,65.85,372.384,0.0,1246.7,36.9,1721.8340000000003,2001,7
2001-08-01,37.06,0.011,4.884,30.607,0.0,1.369,0.1845,0.0,48.84,367.284,0.0,958.3,36.9,1411.324,2001,8
2001-09-01,39.31,0.012,4.53,32.756,0.0,1.827,0.1845,0.0,45.300000000000004,393.072,0.0,1278.8999999999999,36.9,1754.172,2001,9
2001-10-01,43.55,0.008,4.93,35.628,0.0,2.802,0.1845,0.0,49.3,427.536,0.0,1961.4,36.9,2475.136,2001,10
2001-11-01,48.88,0.015,4.506,37.051,0.0,7.119,0.1845,0.0,45.06,444.612,0.0,4983.3,36.9,5509.871999999999,2001,11
2001-12-01,52.22,0.021,4.8,38.453,0.0,8.761,0.1845,0.0,48.0,461.43600000000004,0.0,6132.7,36.9,6679.035999999999,2001,12
2002-01-01,52.86,0.015,4.423,40.003,0.0,8.19,0.2268,0.0,44.230000000000004,480.036,0.0,5733.0,45.36,6302.625999999999,2002,1
2002-02-01,45.42,0.022,4.222,34.316,0.0,6.635,0.2268,0.0,42.220000000000006,411.7920000000001,0.0,4644.5,45.36,5143.871999999999,2002,2
2002-03-01,47.49,0.018,5.739,35.481,0.0,6.022,0.2268,0.0,57.39,425.77200000000005,0.0,4215.400000000001,45.36,4743.9220000000005,2002,3
2002-04-01,43.9,0.023,4.293,35.513,0.0,3.848,0.2268,0.0,42.93,426.15599999999995,0.0,2693.6,45.36,3208.046,2002,4
2002-05-01,42.51,0.024,6.069,33.522,0.0,2.671,0.2268,0.0,60.69,402.264,0.0,1869.6999999999998,45.36,2378.014,2002,5
2002-06-01,39.84,0.018,6.23,31.07,0.0,2.294,0.2268,0.0,62.300000000000004,372.84000000000003,0.0,1605.8,45.36,2086.3,2002,6
